id,Przyczyna,ID Zamówienia
1,inne,8616
2,nieswieze jedzenie,1
3,zle zapakowane jedzenie,2
4,nieswieze jedzenie,3
5,Zbyt dlugi czas oczekiwania,4
6,Zbyt dlugi czas oczekiwania,5
7,Zbyt dlugi czas oczekiwania,6
8,Zbyt dlugi czas oczekiwania,7
9,zle zapakowane jedzenie,8
10,nieswieze jedzenie,9
11,inne,10
12,nieswieze jedzenie,11
13,nieswieze jedzenie,12
14,nieswieze jedzenie,13
15,nieswieze jedzenie,14
16,zle zapakowane jedzenie,15
17,Zbyt dlugi czas oczekiwania,16
18,Zbyt dlugi czas oczekiwania,17
19,inne,18
20,nieswieze jedzenie,19
21,Zbyt dlugi czas oczekiwania,20
22,Zbyt dlugi czas oczekiwania,21
23,Zbyt dlugi czas oczekiwania,22
24,inne,23
25,zle zapakowane jedzenie,24
26,Zbyt dlugi czas oczekiwania,25
27,inne,26
28,zle zapakowane jedzenie,27
29,inne,28
30,Zbyt dlugi czas oczekiwania,29
31,Zbyt dlugi czas oczekiwania,30
32,nieswieze jedzenie,31
33,zle zapakowane jedzenie,32
34,inne,33
35,Zbyt dlugi czas oczekiwania,34
36,zle zapakowane jedzenie,35
37,Zbyt dlugi czas oczekiwania,36
38,nieswieze jedzenie,37
39,inne,38
40,nieswieze jedzenie,39
41,nieswieze jedzenie,40
42,inne,41
43,Zbyt dlugi czas oczekiwania,42
44,Zbyt dlugi czas oczekiwania,43
45,nieswieze jedzenie,44
46,nieswieze jedzenie,45
47,inne,46
48,zle zapakowane jedzenie,47
49,nieswieze jedzenie,48
50,inne,49
51,nieswieze jedzenie,50
52,nieswieze jedzenie,51
53,inne,52
54,zle zapakowane jedzenie,53
55,zle zapakowane jedzenie,54
56,nieswieze jedzenie,55
57,inne,56
58,nieswieze jedzenie,57
59,Zbyt dlugi czas oczekiwania,58
60,zle zapakowane jedzenie,59
61,nieswieze jedzenie,60
62,Zbyt dlugi czas oczekiwania,61
63,nieswieze jedzenie,62
64,nieswieze jedzenie,63
65,Zbyt dlugi czas oczekiwania,64
66,Zbyt dlugi czas oczekiwania,65
67,inne,66
68,zle zapakowane jedzenie,67
69,zle zapakowane jedzenie,68
70,nieswieze jedzenie,69
71,nieswieze jedzenie,70
72,nieswieze jedzenie,71
73,nieswieze jedzenie,72
74,Zbyt dlugi czas oczekiwania,73
75,zle zapakowane jedzenie,74
76,nieswieze jedzenie,75
77,inne,76
78,zle zapakowane jedzenie,77
79,nieswieze jedzenie,78
80,inne,79
81,nieswieze jedzenie,80
82,Zbyt dlugi czas oczekiwania,81
83,inne,82
84,zle zapakowane jedzenie,83
85,Zbyt dlugi czas oczekiwania,84
86,nieswieze jedzenie,85
87,Zbyt dlugi czas oczekiwania,86
88,zle zapakowane jedzenie,87
89,inne,88
90,nieswieze jedzenie,89
91,inne,90
92,zle zapakowane jedzenie,91
93,Zbyt dlugi czas oczekiwania,92
94,zle zapakowane jedzenie,93
95,Zbyt dlugi czas oczekiwania,94
96,inne,95
97,inne,96
98,inne,97
99,inne,98
100,Zbyt dlugi czas oczekiwania,99
101,nieswieze jedzenie,100
102,Zbyt dlugi czas oczekiwania,101
103,Zbyt dlugi czas oczekiwania,102
104,inne,103
105,nieswieze jedzenie,104
106,zle zapakowane jedzenie,105
107,Zbyt dlugi czas oczekiwania,106
108,nieswieze jedzenie,107
109,Zbyt dlugi czas oczekiwania,108
110,nieswieze jedzenie,109
111,Zbyt dlugi czas oczekiwania,110
112,zle zapakowane jedzenie,111
113,Zbyt dlugi czas oczekiwania,112
114,Zbyt dlugi czas oczekiwania,113
115,zle zapakowane jedzenie,114
116,zle zapakowane jedzenie,115
117,zle zapakowane jedzenie,116
118,nieswieze jedzenie,117
119,inne,118
120,zle zapakowane jedzenie,119
121,zle zapakowane jedzenie,120
122,Zbyt dlugi czas oczekiwania,121
123,zle zapakowane jedzenie,122
124,Zbyt dlugi czas oczekiwania,123
125,inne,124
126,zle zapakowane jedzenie,125
127,Zbyt dlugi czas oczekiwania,126
128,inne,127
129,zle zapakowane jedzenie,128
130,inne,129
131,inne,130
132,Zbyt dlugi czas oczekiwania,131
133,inne,132
134,Zbyt dlugi czas oczekiwania,133
135,Zbyt dlugi czas oczekiwania,134
136,nieswieze jedzenie,135
137,Zbyt dlugi czas oczekiwania,136
138,zle zapakowane jedzenie,137
139,inne,138
140,inne,139
141,nieswieze jedzenie,140
142,inne,141
143,Zbyt dlugi czas oczekiwania,142
144,Zbyt dlugi czas oczekiwania,143
145,Zbyt dlugi czas oczekiwania,144
146,zle zapakowane jedzenie,145
147,nieswieze jedzenie,146
148,Zbyt dlugi czas oczekiwania,147
149,nieswieze jedzenie,148
150,zle zapakowane jedzenie,149
151,zle zapakowane jedzenie,150
152,nieswieze jedzenie,151
153,zle zapakowane jedzenie,152
154,zle zapakowane jedzenie,153
155,nieswieze jedzenie,154
156,Zbyt dlugi czas oczekiwania,155
157,zle zapakowane jedzenie,156
158,inne,157
159,nieswieze jedzenie,158
160,inne,159
161,zle zapakowane jedzenie,160
162,zle zapakowane jedzenie,161
163,nieswieze jedzenie,162
164,nieswieze jedzenie,163
165,nieswieze jedzenie,164
166,inne,165
167,Zbyt dlugi czas oczekiwania,166
168,Zbyt dlugi czas oczekiwania,167
169,zle zapakowane jedzenie,168
170,Zbyt dlugi czas oczekiwania,169
171,zle zapakowane jedzenie,170
172,Zbyt dlugi czas oczekiwania,171
173,Zbyt dlugi czas oczekiwania,172
174,Zbyt dlugi czas oczekiwania,173
175,zle zapakowane jedzenie,174
176,Zbyt dlugi czas oczekiwania,175
177,inne,176
178,zle zapakowane jedzenie,177
179,Zbyt dlugi czas oczekiwania,178
180,zle zapakowane jedzenie,179
181,zle zapakowane jedzenie,180
182,Zbyt dlugi czas oczekiwania,181
183,nieswieze jedzenie,182
184,inne,183
185,zle zapakowane jedzenie,184
186,inne,185
187,zle zapakowane jedzenie,186
188,inne,187
189,inne,188
190,inne,189
191,Zbyt dlugi czas oczekiwania,190
192,nieswieze jedzenie,191
193,inne,192
194,nieswieze jedzenie,193
195,nieswieze jedzenie,194
196,zle zapakowane jedzenie,195
197,Zbyt dlugi czas oczekiwania,196
198,zle zapakowane jedzenie,197
199,nieswieze jedzenie,198
200,Zbyt dlugi czas oczekiwania,199
201,zle zapakowane jedzenie,200
202,Zbyt dlugi czas oczekiwania,201
203,inne,202
204,nieswieze jedzenie,203
205,nieswieze jedzenie,204
206,nieswieze jedzenie,205
207,inne,206
208,Zbyt dlugi czas oczekiwania,207
