id,Data Zamówienia,Data Odebrania zamówienia,Numer zamówienia,Id restauracji
1,2018-04-20T05:41:42Z,2018-04-20T05:44:20Z,1,1
2,2018-08-18T20:18:28Z,2018-08-18T20:20:03Z,2,1
3,2018-03-19T23:33:07Z,2018-03-19T23:38:11Z,3,1
4,2018-03-09T02:48:42Z,2018-03-09T02:51:12Z,4,2
5,2018-10-10T18:15:44Z,2018-10-10T18:16:58Z,5,1
6,2018-04-08T07:50:34Z,2018-04-08T07:55:44Z,6,2
7,2018-10-27T12:35:27Z,2018-10-27T12:43:07Z,7,1
8,2018-08-30T19:40:08Z,2018-08-30T19:45:46Z,8,1
9,2017-11-27T19:50:31Z,2017-11-27T19:53:12Z,9,1
10,2017-12-06T12:10:49Z,2017-12-06T12:18:37Z,10,1
11,2018-09-08T16:37:29Z,2018-09-08T16:44:17Z,11,1
12,2018-01-20T23:53:34Z,2018-01-20T23:57:24Z,12,2
13,2018-02-11T18:14:40Z,2018-02-11T18:16:00Z,13,1
14,2018-03-11T14:42:33Z,2018-03-11T14:43:28Z,14,2
15,2018-10-18T03:21:58Z,2018-10-18T03:22:55Z,15,1
16,2018-07-12T22:35:50Z,2018-07-12T22:36:01Z,16,1
17,2018-01-08T20:12:57Z,2018-01-08T20:14:53Z,17,1
18,2018-06-22T18:13:32Z,2018-06-22T18:19:43Z,18,2
19,2018-01-21T13:23:05Z,2018-01-21T13:23:45Z,19,1
20,2018-03-23T11:29:14Z,2018-03-23T11:31:49Z,20,2
21,2018-01-25T06:28:03Z,2018-01-25T06:35:06Z,21,1
22,2018-05-21T11:03:57Z,2018-05-21T11:11:25Z,22,1
23,2017-12-26T09:06:53Z,2017-12-26T09:13:55Z,23,1
24,2018-10-28T10:38:51Z,2018-10-28T10:45:04Z,24,2
25,2018-09-08T03:00:40Z,2018-09-08T03:01:20Z,25,1
26,2018-04-30T09:06:16Z,2018-04-30T09:09:38Z,26,1
27,2018-05-19T07:01:23Z,2018-05-19T07:03:52Z,27,1
28,2018-10-15T23:18:21Z,2018-10-15T23:18:51Z,28,2
29,2018-04-10T01:53:26Z,2018-04-10T01:53:35Z,29,1
30,2018-01-29T00:43:54Z,2018-01-29T00:47:49Z,30,1
31,2017-12-10T05:54:26Z,2017-12-10T06:00:39Z,31,1
32,2018-08-10T17:17:50Z,2018-08-10T17:24:14Z,32,1
33,2018-09-26T04:08:32Z,2018-09-26T04:15:34Z,33,1
34,2018-06-29T09:49:57Z,2018-06-29T09:55:12Z,34,2
35,2018-10-08T02:26:46Z,2018-10-08T02:29:51Z,35,1
36,2017-11-30T02:08:07Z,2017-11-30T02:14:59Z,36,1
37,2018-08-29T19:50:44Z,2018-08-29T19:56:03Z,37,1
38,2018-03-25T07:47:24Z,2018-03-25T07:53:44Z,38,2
39,2018-10-17T02:31:09Z,2018-10-17T02:37:55Z,39,1
40,2018-07-15T07:16:54Z,2018-07-15T07:23:58Z,40,1
41,2018-01-28T21:02:25Z,2018-01-28T21:08:02Z,41,1
42,2017-12-21T00:50:30Z,2017-12-21T00:56:38Z,42,1
43,2018-05-19T14:44:07Z,2018-05-19T14:50:58Z,43,1
44,2017-10-31T23:07:49Z,2017-10-31T23:11:58Z,44,1
45,2018-07-12T18:10:24Z,2018-07-12T18:12:10Z,45,1
46,2018-04-05T02:12:38Z,2018-04-05T02:13:58Z,46,1
47,2017-11-06T17:09:46Z,2017-11-06T17:14:01Z,47,1
48,2018-10-22T15:30:22Z,2018-10-22T15:30:25Z,48,2
49,2018-03-09T22:38:33Z,2018-03-09T22:44:33Z,49,1
50,2018-03-07T22:08:12Z,2018-03-07T22:14:00Z,50,1
51,2017-12-22T03:13:27Z,2017-12-22T03:19:50Z,51,1
52,2018-02-28T04:42:35Z,2018-02-28T04:44:41Z,52,2
53,2018-03-13T00:34:32Z,2018-03-13T00:39:59Z,53,1
54,2018-05-17T19:36:32Z,2018-05-17T19:39:26Z,54,2
55,2018-04-01T00:22:07Z,2018-04-01T00:26:21Z,55,1
56,2018-02-28T16:06:11Z,2018-02-28T16:13:59Z,56,2
57,2018-01-16T14:10:40Z,2018-01-16T14:11:09Z,57,1
58,2018-02-02T06:24:59Z,2018-02-02T06:27:52Z,58,2
59,2018-09-23T13:22:37Z,2018-09-23T13:26:43Z,59,1
60,2018-09-26T17:07:51Z,2018-09-26T17:12:38Z,60,2
61,2018-08-19T02:20:23Z,2018-08-19T02:27:03Z,61,1
62,2018-05-03T13:27:09Z,2018-05-03T13:31:10Z,62,1
63,2018-06-10T04:43:40Z,2018-06-10T04:45:45Z,63,1
64,2018-05-01T15:11:55Z,2018-05-01T15:14:42Z,64,1
65,2018-09-21T00:55:12Z,2018-09-21T01:01:05Z,65,1
66,2018-05-16T18:41:26Z,2018-05-16T18:45:41Z,66,1
67,2018-02-23T09:09:16Z,2018-02-23T09:10:48Z,67,1
68,2018-04-09T06:05:25Z,2018-04-09T06:10:55Z,68,1
69,2018-03-01T02:44:28Z,2018-03-01T02:48:32Z,69,1
70,2018-01-26T01:25:20Z,2018-01-26T01:30:43Z,70,2
71,2018-03-25T01:46:16Z,2018-03-25T01:49:23Z,71,1
72,2018-02-12T00:59:20Z,2018-02-12T00:59:45Z,72,2
73,2018-10-25T10:23:14Z,2018-10-25T10:30:55Z,73,1
74,2018-03-06T19:21:32Z,2018-03-06T19:23:18Z,74,2
75,2018-05-23T01:30:31Z,2018-05-23T01:36:32Z,75,1
76,2018-08-31T12:05:33Z,2018-08-31T12:12:59Z,76,2
77,2018-09-17T15:39:28Z,2018-09-17T15:41:20Z,77,1
78,2017-12-03T20:27:45Z,2017-12-03T20:29:36Z,78,2
79,2018-06-26T20:59:43Z,2018-06-26T21:05:04Z,79,1
80,2018-02-15T09:17:48Z,2018-02-15T09:21:00Z,80,2
81,2017-12-22T06:53:13Z,2017-12-22T07:01:02Z,81,1
82,2018-07-30T23:09:40Z,2018-07-30T23:11:56Z,82,1
