ocena,data
4,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
3,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
1,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
2,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
5,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
4,2018-10-28T17:15:32Z
