id,Data_Zamowienia,Data_Odebrania,Numer_zamowienia,Id_restauracji
1,2018-10-22T13:58:41Z,2018-10-22T14:00:42Z,1,1
2,2018-10-24T12:29:44Z,2018-10-24T12:30:57Z,2,2
3,2018-10-22T01:31:27Z,2018-10-22T01:34:09Z,3,1
4,2018-10-28T09:34:10Z,2018-10-28T09:36:06Z,4,1
5,2018-10-27T22:30:48Z,2018-10-27T22:38:19Z,5,2
6,2018-10-23T01:19:16Z,2018-10-23T01:24:45Z,6,2
7,2018-10-26T12:38:06Z,2018-10-26T12:42:38Z,7,1
8,2018-10-25T02:20:09Z,2018-10-25T02:25:28Z,8,2
9,2018-10-27T14:34:24Z,2018-10-27T14:35:52Z,9,1
10,2018-10-27T20:08:15Z,2018-10-27T20:13:48Z,10,1
11,2018-10-28T06:51:17Z,2018-10-28T06:51:57Z,11,2
12,2018-10-25T01:26:08Z,2018-10-25T01:30:46Z,12,1
13,2018-10-27T07:37:33Z,2018-10-27T07:42:57Z,13,1
14,2018-10-24T17:45:33Z,2018-10-24T17:49:37Z,14,2
15,2018-10-23T15:43:41Z,2018-10-23T15:50:12Z,15,1
16,2018-10-26T06:20:56Z,2018-10-26T06:28:23Z,16,1
17,2018-10-27T13:18:08Z,2018-10-27T13:19:23Z,17,2
18,2018-10-22T03:34:29Z,2018-10-22T03:37:32Z,18,1
19,2018-10-28T00:30:08Z,2018-10-28T00:34:23Z,19,1
20,2018-10-27T12:53:34Z,2018-10-27T13:01:34Z,20,2
21,2018-10-23T06:25:32Z,2018-10-23T06:31:20Z,21,1
22,2018-10-22T16:31:58Z,2018-10-22T16:37:53Z,22,1
23,2018-10-24T00:27:42Z,2018-10-24T00:33:19Z,23,2
24,2018-10-23T16:50:00Z,2018-10-23T16:54:10Z,24,1
25,2018-10-25T18:26:24Z,2018-10-25T18:34:01Z,25,1
26,2018-10-23T01:50:01Z,2018-10-23T01:52:41Z,26,2
27,2018-10-23T22:35:10Z,2018-10-23T22:38:45Z,27,2
28,2018-10-27T10:49:58Z,2018-10-27T10:55:30Z,28,1
29,2018-10-28T06:38:47Z,2018-10-28T06:40:22Z,29,2
30,2018-10-27T02:00:09Z,2018-10-27T02:00:12Z,30,1
31,2018-10-23T01:39:16Z,2018-10-23T01:41:18Z,31,1
32,2018-10-26T17:04:35Z,2018-10-26T17:05:47Z,32,2
33,2018-10-23T22:31:56Z,2018-10-23T22:33:54Z,33,2
34,2018-10-22T13:30:14Z,2018-10-22T13:33:30Z,34,1
35,2018-10-28T12:36:12Z,2018-10-28T12:43:38Z,35,2
36,2018-10-28T15:32:36Z,2018-10-28T15:38:38Z,36,2
37,2018-10-27T18:26:05Z,2018-10-27T18:33:05Z,37,1
38,2018-10-28T10:12:37Z,2018-10-28T10:17:05Z,38,2
39,2018-10-26T07:33:37Z,2018-10-26T07:37:22Z,39,2
40,2018-10-22T22:35:37Z,2018-10-22T22:37:02Z,40,1
41,2018-10-28T01:33:28Z,2018-10-28T01:40:15Z,41,2
42,2018-10-24T13:50:54Z,2018-10-24T13:55:41Z,42,2
43,2018-10-25T21:57:23Z,2018-10-25T22:03:27Z,43,1
44,2018-10-22T18:35:54Z,2018-10-22T18:38:16Z,44,2
45,2018-10-22T07:54:02Z,2018-10-22T07:56:57Z,45,1
46,2018-10-25T09:43:21Z,2018-10-25T09:45:03Z,46,1
47,2018-10-24T21:27:13Z,2018-10-24T21:32:13Z,47,2
48,2018-10-22T07:42:26Z,2018-10-22T07:46:15Z,48,2
49,2018-10-23T01:03:50Z,2018-10-23T01:07:07Z,49,1
50,2018-10-24T00:59:00Z,2018-10-24T01:05:37Z,50,2
51,2018-10-28T00:13:42Z,2018-10-28T00:21:05Z,51,2
52,2018-10-22T00:51:54Z,2018-10-22T00:53:59Z,52,1
53,2018-10-26T18:11:29Z,2018-10-26T18:16:28Z,53,2
54,2018-10-22T10:26:25Z,2018-10-22T10:30:32Z,54,1
55,2018-10-24T10:50:28Z,2018-10-24T10:58:25Z,55,1
56,2018-10-25T23:37:10Z,2018-10-25T23:42:52Z,56,2
57,2018-10-28T14:55:26Z,2018-10-28T14:56:41Z,57,1
58,2018-10-22T19:12:01Z,2018-10-22T19:16:06Z,58,1
59,2018-10-24T21:52:31Z,2018-10-24T21:57:17Z,59,2
60,2018-10-28T06:06:23Z,2018-10-28T06:10:50Z,60,2
61,2018-10-27T12:22:12Z,2018-10-27T12:23:45Z,61,1
62,2018-10-27T22:26:21Z,2018-10-27T22:30:01Z,62,2
63,2018-10-26T21:58:10Z,2018-10-26T22:04:50Z,63,2
64,2018-10-24T08:26:06Z,2018-10-24T08:30:27Z,64,1
65,2018-10-28T01:53:49Z,2018-10-28T02:00:11Z,65,2
66,2018-10-22T20:23:59Z,2018-10-22T20:29:49Z,66,2
67,2018-10-27T00:52:35Z,2018-10-27T00:57:15Z,67,1
68,2018-10-26T18:44:29Z,2018-10-26T18:49:30Z,68,2
69,2018-10-22T04:39:38Z,2018-10-22T04:40:04Z,69,1
70,2018-10-27T08:54:40Z,2018-10-27T08:56:53Z,70,1
71,2018-10-22T21:22:16Z,2018-10-22T21:23:49Z,71,2
72,2018-10-22T04:14:13Z,2018-10-22T04:17:53Z,72,1
73,2018-10-26T07:15:51Z,2018-10-26T07:18:47Z,73,1
74,2018-10-27T10:36:45Z,2018-10-27T10:41:56Z,74,2
75,2018-10-22T16:03:08Z,2018-10-22T16:03:10Z,75,2
76,2018-10-22T12:59:22Z,2018-10-22T13:05:51Z,76,1
77,2018-10-27T09:01:40Z,2018-10-27T09:06:09Z,77,2
78,2018-10-26T02:02:41Z,2018-10-26T02:05:13Z,78,2
79,2018-10-27T17:14:18Z,2018-10-27T17:19:24Z,79,1
80,2018-10-28T04:57:20Z,2018-10-28T05:04:10Z,80,2
